Player,Rating,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Derrick Henry,31.85,27.00,8.00,8.00,1.00,1.00,5.00,1.00,0.00,219.00,937.00,4.28,10.00,20.00,18.00,154.00,8.56,0.00,1.00,0.00,10.00,1.00,0.00,175.00,193.30,199.30,184.30,104.00,1.00,1.00
Cooper Kupp,30.92,28.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,-5.00,-5.00,0.00,103.00,74.00,1019.00,13.77,10.00,0.00,0.00,10.00,0.00,0.00,161.00,235.40,238.40,198.40,95.00,1.00,2.00
Jonathan Taylor,34.58,22.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,140.00,821.00,5.86,8.00,27.00,23.00,293.00,12.74,1.00,3.00,1.00,9.00,0.00,0.00,163.00,186.40,193.40,174.90,92.00,2.00,3.00
Joe Mixon,29.09,25.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,150.00,636.00,4.24,7.00,26.00,22.00,194.00,8.82,2.00,1.00,0.00,9.00,0.00,0.00,137.00,159.00,165.00,148.00,66.00,3.00,4.00
Ja'Marr Chase,22.59,21.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,4.00,7.00,1.75,0.00,73.00,44.00,835.00,18.98,7.00,2.00,1.00,7.00,0.00,0.00,124.00,168.20,172.20,146.20,58.00,2.00,5.00
Austin Ekeler,32.90,26.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,101.00,479.00,4.74,5.00,45.00,36.00,325.00,9.03,3.00,2.00,1.00,8.00,1.00,0.00,128.00,164.40,171.40,146.40,57.00,4.00,6.00
Alvin Kamara,35.64,26.00,8.00,7.00,0.00,0.00,0.00,0.00,0.00,146.00,530.00,3.63,3.00,44.00,32.00,310.00,9.69,4.00,0.00,0.00,7.00,0.00,0.00,126.00,158.00,164.00,142.00,55.00,5.00,7.00
James Conner,22.72,26.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,115.00,454.00,3.95,10.00,10.00,10.00,111.00,11.10,1.00,2.00,0.00,11.00,0.00,0.00,123.00,132.50,138.50,127.50,52.00,6.00,8.00
Tyreek Hill,32.15,27.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,6.00,59.00,9.83,0.00,101.00,68.00,772.00,11.35,6.00,1.00,1.00,6.00,0.00,0.00,117.00,185.10,189.10,151.10,51.00,3.00,9.00
Deebo Samuel,27.99,25.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,6.00,22.00,3.67,1.00,81.00,49.00,882.00,18.00,4.00,2.00,2.00,5.00,0.00,0.00,116.00,165.40,170.40,140.90,50.00,4.00,10.00
Najee Harris,32.30,23.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,150.00,541.00,3.61,4.00,52.00,40.00,289.00,7.23,2.00,0.00,0.00,6.00,0.00,0.00,119.00,159.00,165.00,139.00,48.00,7.00,11.00
Tom Brady,22.70,44.00,8.00,8.00,231.00,343.00,2650.00,25.00,5.00,14.00,39.00,2.79,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,0.00,0.00,202.00,201.90,211.90,206.90,48.00,1.00,12.00
Cordarrelle Patterson,22.47,30.00,8.00,5.00,0.00,1.00,0.00,0.00,0.00,73.00,278.00,3.81,2.00,47.00,38.00,459.00,12.08,5.00,2.00,0.00,7.00,0.00,0.00,116.00,153.70,159.70,134.70,45.00,8.00,13.00
Jalen Hurts,18.94,23.00,9.00,9.00,168.00,273.00,1981.00,11.00,4.00,83.00,494.00,5.95,5.00,1.00,0.00,0.00,0.00,0.00,5.00,1.00,5.00,0.00,3.00,199.00,198.60,209.60,202.60,45.00,2.00,14.00
Ezekiel Elliott,29.10,26.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,128.00,622.00,4.86,5.00,29.00,23.00,153.00,6.65,1.00,0.00,0.00,6.00,1.00,0.00,116.00,138.50,144.50,127.00,45.00,9.00,15.00
Aaron Jones,31.08,27.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,116.00,516.00,4.45,3.00,41.00,33.00,237.00,7.18,4.00,2.00,1.00,7.00,0.00,0.00,115.00,148.30,155.30,131.80,44.00,10.00,16.00
Matthew Stafford,20.74,33.00,9.00,9.00,219.00,321.00,2771.00,23.00,6.00,22.00,37.00,1.68,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,197.00,196.50,205.50,202.50,42.00,3.00,17.00
Lamar Jackson,22.75,24.00,8.00,8.00,173.00,266.00,2209.00,13.00,7.00,97.00,600.00,6.19,2.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,2.00,0.00,2.00,196.00,196.40,212.40,203.40,42.00,4.00,18.00
Darrell Henderson,22.87,24.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,121.00,562.00,4.64,5.00,28.00,19.00,144.00,7.58,2.00,0.00,0.00,7.00,0.00,0.00,113.00,131.60,137.60,122.10,42.00,12.00,20.00
Josh Allen,22.54,25.00,8.00,8.00,209.00,319.00,2236.00,17.00,5.00,57.00,319.00,5.60,3.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,3.00,1.00,0.00,195.00,195.30,208.30,200.30,41.00,5.00,21.00
Travis Kelce,28.57,32.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,54.00,628.00,11.63,5.00,1.00,1.00,5.00,0.00,0.00,91.00,144.80,148.80,117.80,40.00,1.00,22.00
Marquise Brown,21.24,24.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,5.00,0.00,69.00,46.00,682.00,14.83,6.00,1.00,0.00,6.00,0.00,0.00,105.00,150.70,153.70,127.70,38.00,6.00,24.00
Mike Evans,24.79,28.00,8.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.00,39.00,544.00,13.95,8.00,0.00,0.00,8.00,0.00,0.00,102.00,141.40,144.40,121.90,36.00,7.00,25.00
Patrick Mahomes,20.40,26.00,9.00,9.00,236.00,362.00,2534.00,20.00,10.00,37.00,227.00,6.14,1.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,1.00,0.00,0.00,186.00,186.10,204.10,196.10,32.00,6.00,26.00
