,Age,G1,GS1,Cmp1,Att1,Yds1,TD1,Int2,Att2,Yds2,Y/A2,TD2,Tgt3,Rec3,Yds3,Y/R3,TD3,Fmb4,FL4,TD4,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Rating,Class
0,27.0,8.0,8.0,1.0,1.0,5.0,1.0,0.0,219.0,937.0,4.28,10.0,20.0,18.0,154.0,8.56,0.0,1.0,0.0,10.0,1.0,0.0,175.0,193.3,199.3,184.3,104.0,1.0,1.0,31.85,1
1,28.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,103.0,74.0,1019.0,13.77,10.0,0.0,0.0,10.0,0.0,0.0,161.0,235.4,238.4,198.4,95.0,1.0,2.0,30.92,0
2,22.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,140.0,821.0,5.86,8.0,27.0,23.0,293.0,12.74,1.0,3.0,1.0,9.0,0.0,0.0,163.0,186.4,193.4,174.9,92.0,2.0,3.0,34.58,1
3,25.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,150.0,636.0,4.24,7.0,26.0,22.0,194.0,8.82,2.0,1.0,0.0,9.0,0.0,0.0,137.0,159.0,165.0,148.0,66.0,3.0,4.0,29.09,1
4,21.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.75,0.0,73.0,44.0,835.0,18.98,7.0,2.0,1.0,7.0,0.0,0.0,124.0,168.2,172.2,146.2,58.0,2.0,5.0,22.59,0
5,26.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,101.0,479.0,4.74,5.0,45.0,36.0,325.0,9.03,3.0,2.0,1.0,8.0,1.0,0.0,128.0,164.4,171.4,146.4,57.0,4.0,6.0,32.9,1
6,26.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,146.0,530.0,3.63,3.0,44.0,32.0,310.0,9.69,4.0,0.0,0.0,7.0,0.0,0.0,126.0,158.0,164.0,142.0,55.0,5.0,7.0,35.64,1
7,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,454.0,3.95,10.0,10.0,10.0,111.0,11.1,1.0,2.0,0.0,11.0,0.0,0.0,123.0,132.5,138.5,127.5,52.0,6.0,8.0,22.72,1
8,27.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,59.0,9.83,0.0,101.0,68.0,772.0,11.35,6.0,1.0,1.0,6.0,0.0,0.0,117.0,185.1,189.1,151.1,51.0,3.0,9.0,32.15,0
9,25.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,3.67,1.0,81.0,49.0,882.0,18.0,4.0,2.0,2.0,5.0,0.0,0.0,116.0,165.4,170.4,140.9,50.0,4.0,10.0,27.99,0
10,23.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,150.0,541.0,3.61,4.0,52.0,40.0,289.0,7.23,2.0,0.0,0.0,6.0,0.0,0.0,119.0,159.0,165.0,139.0,48.0,7.0,11.0,32.3,1
11,44.0,8.0,8.0,231.0,343.0,2650.0,25.0,5.0,14.0,39.0,2.79,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,202.0,201.9,211.9,206.9,48.0,1.0,12.0,22.7,3
12,30.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,73.0,278.0,3.81,2.0,47.0,38.0,459.0,12.08,5.0,2.0,0.0,7.0,0.0,0.0,116.0,153.7,159.7,134.7,45.0,8.0,13.0,22.47,0
